Gene,Neuron,TPM,Proportion of Cells,Neuron Functional Group
lin-44,ADE,328.693377,11.15973742,Sensory
srv-28,ADF,653.9577335,49.01185771,Sensory
srsx-32,ADF,391.8114197,37.54940711,Sensory
srt-64,ADF,307.1633327,29.24901186,Sensory
srx-18,ADF,133.196688,16.3372859,Sensory
21ur-10538,ADF,56.5464373,8.959156785,Sensory
str-113,ADF,38.41592257,6.719367589,Sensory
fbxc-37,ADF,24.46059218,3.95256917,Sensory
srv-29,ADF,42.23208096,3.293807642,Sensory
C18H7.6,ADL,1643.729174,73.08900524,Sensory
hlh-4,ADL,1272.480539,67.32984293,Sensory
R02F11.11,ADL,758.1450559,52.35602094,Sensory
F54E2.5,ADL,673.1176089,52.2513089,Sensory
R11D1.7,ADL,597.7083595,45.54973822,Sensory
srz-68,ADL,425.6543339,43.2460733,Sensory
srz-3,ADL,419.1512707,43.03664921,Sensory
srh-150,ADL,546.3762618,42.40837696,Sensory
srh-204,ADL,466.2091797,42.30366492,Sensory
C29F4.3,ADL,417.2528056,41.88481675,Sensory
C18H7.12,ADL,366.1614425,40.73298429,Sensory
srh-255,ADL,442.9379727,36.64921466,Sensory
F39E9.8,ADL,293.665345,36.23036649,Sensory
srz-11,ADL,330.3250113,36.12565445,Sensory
sri-43,ADL,350.0277187,35.60209424,Sensory
srz-92,ADL,267.0407822,30.15706806,Sensory
K02E2.1,ADL,275.1357466,29.21465969,Sensory
srh-112,ADL,241.0010941,29.0052356,Sensory
srz-20,ADL,252.2182041,27.22513089,Sensory
C54D10.13,ADL,220.5674869,27.01570681,Sensory
srz-65,ADL,210.2467173,25.54973822,Sensory
bath-20,ADL,236.7176803,24.92146597,Sensory
srh-147,ADL,183.2409895,24.71204188,Sensory
srh-164,ADL,214.9220068,23.97905759,Sensory
srz-67,ADL,139.2385077,23.14136126,Sensory
srh-116,ADL,189.6492181,22.72251309,Sensory
F11A5.4,ADL,156.9877592,22.30366492,Sensory
clec-67,ADL,300.039685,21.78010471,Sensory
sri-73,ADL,152.0854979,21.46596859,Sensory
srh-199,ADL,165.4290813,21.04712042,Sensory
srh-154,ADL,157.2976807,20.41884817,Sensory
ZK1251.3,ADL,135.7274133,19.68586387,Sensory
srh-132,ADL,141.8395505,19.26701571,Sensory
srz-94,ADL,112.7553224,19.16230366,Sensory
F11A5.3,ADL,164.8013149,18.84816754,Sensory
srh-114,ADL,157.5349294,18.32460733,Sensory
sri-38,ADL,141.2875081,18.11518325,Sensory
F26D2.8,ADL,143.9694123,17.69633508,Sensory
srz-29,ADL,136.5880227,17.27748691,Sensory
Y68A4A.8,ADL,120.7165562,16.7539267,Sensory
srh-148,ADL,102.1648276,16.54450262,Sensory
srz-66,ADL,141.8471694,16.54450262,Sensory
srh-25,ADL,126.7687238,15.70680628,Sensory
F36A4.2,ADL,125.43487,15.60209424,Sensory
K09D9.12,ADL,125.4023604,14.65968586,Sensory
srz-105,ADL,115.3030698,14.13612565,Sensory
T27E7.4,ADL,92.77803621,13.5078534,Sensory
srz-22,ADL,117.3249965,13.40314136,Sensory
srz-7,ADL,107.4786159,13.40314136,Sensory
ZK697.1,ADL,87.09435751,13.19371728,Sensory
srz-77,ADL,85.51771285,12.77486911,Sensory
srh-121,ADL,74.61359309,11.72774869,Sensory
srh-60,ADL,91.89979062,11.72774869,Sensory
srz-99,ADL,69.67307612,11.30890052,Sensory
srz-74,ADL,56.39323564,10.68062827,Sensory
T05G5.4,ADL,79.23127496,10.47120419,Sensory
srh-115,ADL,56.52313906,10.15706806,Sensory
srz-55,ADL,57.75552647,9.528795812,Sensory
srh-162,ADL,58.62790694,9.214659686,Sensory
